cell,cm,cc,n,crpss,lat,lon
g-35p7_174p2,0.3152609478015102,0.8060995016371211,1200,0.6089056659119111,-35.7,174.2
g-35p7_174p3,0.2063549526631206,0.7467468433920295,1200,0.7236614329351939,-35.7,174.3
g-35p7_174p4,0.3321582862113543,0.8825396450826277,1200,0.6236335805852031,-35.7,174.4
g-35p7_174p5,0.3195903219915503,0.7400631614075973,1200,0.5681580456137139,-35.7,174.5
g-35p8_173p7,0.2923159578963112,0.7163997009179245,1200,0.5919652708930976,-35.8,173.7
g-35p8_173p8,0.3667344888043875,0.7947161500280102,1200,0.5385339925563841,-35.8,173.8
g-35p8_173p9,0.2530893748374219,0.719237486240454,1200,0.6481143159537578,-35.8,173.9
g-35p8_174p0,0.29134352115894757,0.7827089687514429,1200,0.6277754148854443,-35.8,174.0
g-35p8_174p1,0.3921895004115152,0.8295295490324497,1200,0.5272145508632466,-35.8,174.1
g-35p8_174p2,0.16150425523863723,0.6872911381512402,1183,0.7650133309254196,-35.8,174.2
g-35p8_174p3,0.4457200069867409,0.8735162702404846,1180,0.48974046371908864,-35.8,174.3
g-35p8_174p5,0.31246473957346615,0.6746708374485995,1200,0.5368634269785351,-35.8,174.5
g-35p9_173p7,0.24621603838622397,0.6936207555172345,1200,0.6450278679988171,-35.9,173.7
g-35p9_173p8,0.23295383151515356,0.7146413265556718,1200,0.6740269239145296,-35.9,173.8
g-35p9_173p9,0.2287869091534843,0.6953686151017124,1200,0.6709847062625636,-35.9,173.9
g-35p9_174p0,0.2994991388916993,0.768724602094541,1200,0.6103947524566598,-35.9,174.0
g-35p9_174p1,0.23917270309516103,0.7360834206252669,1200,0.6750739163612793,-35.9,174.1
g-35p9_174p2,0.2999820275576581,0.7790196234236161,1200,0.6149236571996677,-35.9,174.2
g-35p9_174p3,0.3281393460968279,0.7850871741352603,1200,0.5820345091508351,-35.9,174.3
g-35p9_174p4,0.2679025605098106,0.7370323934980357,1200,0.6365118238042211,-35.9,174.4
g-36p0_173p8,0.24767793539557365,0.7242847411396602,1200,0.658037894038948,-36.0,173.8
g-36p0_173p9,0.2886549657377837,0.7072650772851968,1179,0.591871598063668,-36.0,173.9
g-36p0_174p0,0.20856941212836813,0.7157069811271504,1200,0.7085826775087523,-36.0,174.0
g-36p0_174p1,0.3536842710132072,0.81078746849671,1200,0.5637768407188419,-36.0,174.1
g-36p0_174p2,0.16513368143015023,0.6553242366745448,1200,0.7480122476956992,-36.0,174.2
g-36p0_174p3,0.31460532008485925,0.7696539971775685,1200,0.5912379832514845,-36.0,174.3
g-36p0_174p4,0.3804065644504457,0.8578402154271801,1200,0.5565531230533253,-36.0,174.4
g-36p1_173p9,0.14851389918033878,0.6500209731127445,1200,0.7715244502509623,-36.1,173.9
g-36p1_174p0,0.43092619646876423,0.7910358153562993,1200,0.45523807126904114,-36.1,174.0
g-36p1_174p1,0.2066162202246914,0.6827441086154431,1200,0.6973738511728874,-36.1,174.1
g-36p1_174p2,0.22042367051972594,0.7271920183316494,1200,0.6968838147791693,-36.1,174.2
g-36p1_174p3,0.19081124880000946,0.7361991841920341,1200,0.7408157290891031,-36.1,174.3
g-36p1_174p4,0.25000777469090874,0.7139476819693421,1200,0.6498233960207123,-36.1,174.4
g-36p1_174p5,0.25322953455321406,0.690886000993972,1200,0.6334713191627928,-36.1,174.5
g-36p2_174p0,0.2220701314546197,0.674037980978998,1200,0.6705376585276741,-36.2,174.0
g-36p2_174p1,0.37441134517212027,0.7502721529252206,1200,0.5009659578696403,-36.2,174.1
g-36p2_174p2,0.28591773261588777,0.7333785921397309,1200,0.6101362438441458,-36.2,174.2
g-36p2_174p3,0.32459338313998015,0.7804927109119792,1200,0.5841173420303902,-36.2,174.3
g-36p2_174p4,0.35832042834138716,0.7933220021969949,1200,0.5483291433376756,-36.2,174.4
g-36p2_174p5,0.2601073149445089,0.7725238737712303,1200,0.6633019071957701,-36.2,174.5
g-36p2_174p6,0.4000295278075867,0.7859228328118721,1200,0.49100660891049264,-36.2,174.6
g-36p2_175p4,0.1819400211149325,0.4968550106029337,1200,0.6338166724047962,-36.2,175.4
g-36p2_175p5,0.24248335906905855,0.626001026321513,1200,0.6126470263252899,-36.2,175.5
g-36p3_174p0,0.3443871432015321,0.7368772782710102,1193,0.532639757858197,-36.3,174.0
g-36p3_174p1,0.38824607528642263,0.7902374395545279,1194,0.5086969360686271,-36.3,174.1
g-36p3_174p4,0.26624723436109304,0.7129953439580277,1200,0.626579280471758,-36.3,174.4
g-36p3_174p5,0.33657212953996485,0.7567316086279849,1200,0.5552291912978273,-36.3,174.5
